
Nr.;Datum;Titel der Vorlage;Ergebnis;Beteiligung;Volk: Ja%;Stände: Ja
174.1;13.03.1955;Volksinitiative «zum Schutz der Mieter und Konsumenten» (Weiterführung der Preiskontrolle);Abgelehnt;55.5%;50.2%;6 2/2
173;05.12.1954;Volksinitiative «Schutz der Stromlandschaft und Verleihung Rheinau»;Abgelehnt;51.9%;31.2%;1 0/2
172;24.10.1954;Bundesbeschluss über die Finanzordnung 1955 bis 1958;Angenommen;46.8%;70.0%;18 6/2
171;20.06.1954;Bundesbeschluss über ausserordentliche Hilfeleistungen an kriegsgeschädigte Auslandschweizer;Abgelehnt;40.7%;44.0%;.
170;20.06.1954;Bundesbeschluss über den Fähigkeitsausweis im Schuhmacher-, Coiffeur-, Sattler- und Wagnergewerbe;Abgelehnt;40.9%;33.1%;.
169;06.12.1953;Bundesbeschluss über die Ergänzung der Bundesvefassung durch einen Artikel 24quater betreffend den Schutz der Gewässer gegen Verunreinigung;Angenommen;59.1%;81.3%;19 6/2
168;06.12.1953;Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes;Abgelehnt;60.3%;42.0%;3 0/2
167;19.04.1953;Bundesgesetz über die Revision des Bundesgesetzes betreffend den Postverkehr;Abgelehnt;52.7%;36.5%;.
166;23.11.1952;Bundesbeschluss über die Brotgetreideversorgung des Landes;Angenommen;56.4%;75.6%;19 5/2
165;23.11.1952;Bundesbeschluss über die befristete Weiterführung einer beschränkten Preiskontrolle;Angenommen;56.4%;62.8%;15 2/2
164;05.10.1952;Bundesbeschluss über den Einbau von Luftschutzräumen in bestehenden Häusern;Abgelehnt;52.6%;15.5%;.
163;05.10.1952;Bundesgesetz betreffend die Abänderung von Bestimmungen über die fiskalische Belastung des Tabaks im Bundesgesetz über die Alters- und Hinterlassenenversicherung;Angenommen;52.6%;68.0%;.
162;06.07.1952;Bundesbeschluss über die Deckung der Rüstungsausgaben;Abgelehnt;44.2%;42.0%;3 0/2
161;18.05.1952;Volksinitiative «zur Rüstungsfinanzierung und zum Schutz der sozialen Errungenschaften»;Abgelehnt;53.9%;43.7%;3 2/2
160;20.04.1952;Volksinitiative «Warenumsatzsteuer»;Abgelehnt;49.1%;19.0%;0 0/2
159;30.03.1952;Bundesgesetz über die Förderung der Landwirtschaft und die Erhaltung des Bauernstandes (Landwirtschaftsgesetz);Angenommen;64.1%;54.0%;.
158;02.03.1952;Bundesbeschluss betreffend Verlängerung der Geltungsdauer des Bundesbeschlusses über die Bewilligungspflicht für die Eröffnung und Erweiterung von Gasthöfen;Abgelehnt;40.1%;46.1%;.
157;08.07.1951;Volksinitiative «zur Heranziehung der öffentlichen Unternehmungen zu einem Beitrag an die Kosten der Landesverteidigung»;Abgelehnt;37.6%;32.6%;.
156.2;15.04.1951;Gegenentwurf zur Volksinitiative «zur Sicherstellung der Kaufkraft und Vollbeschäftigung» (Freigeldinitiative);Angenommen;53.1%;69.0%;19 6/2
156.1;15.04.1951;Volksinitiative «zur Sicherstellung der Kaufkraft und Vollbeschäftigung» (Freigeldinitiative);Abgelehnt;53.1%;12.4%;0 0/2
155;25.02.1951;Bundesbeschluss über den Transport von Personen und Sachen mit Motorfahrzeugen auf öffentlichen Strassen (Autotransportordnung);Abgelehnt;52.4%;44.3%;.
154;03.12.1950;Bundesbeschluss über die Finanzordnung 1951 bis 1954;Angenommen;55.7%;69.5%;17 6/2
153;03.12.1950;Bundesbeschluss betreffend Abänderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates);Angenommen;55.7%;67.3%;17 6/2
152;01.10.1950;Volksinitiative «zum Schutz des Bodens und der Arbeit durch Verhinderung der Spekulation»;Abgelehnt;43.7%;27.0%;0 0/2
151;04.06.1950;Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes;Abgelehnt;55.3%;35.5%;5 2/2
150;29.01.1950;Bundesbeschluss betreffend die Verlängerung der Geltungsdauer und die Abänderung des Bundesbeschlusses über Massnahmen zur Förderung der Wohnbautätigkeit;Abgelehnt;52.8%;46.3%;.
149;11.12.1949;Bundesgesetz betreffend Abänderung des Bundesgesetzes vom 30. Juni 1927 über das Dienstverhältnis der Bundesbeamten;Angenommen;72.0%;55.3%;.
148;11.09.1949;Volksinitiative «für die Rückkehr zur direkten Demokratie»;Angenommen;42.5%;50.7%;11 3/2
147;22.05.1949;Bundesgesetz über die Ergänzung des Bundesgesetzes vom 13. Juni 1928 betreffend Massnahmen gegen die Tuberkulose;Abgelehnt;61.0%;24.8%;.
146;22.05.1949;Bundesbeschluss über die Revision von Artikel 39 der Bundesverfassung betreffend die Schweizerische Nationalbank;Abgelehnt;61.0%;38.5%;1 1/2
145;14.03.1948;Bundesbeschluss über die Ordnung der schweizerischen Zuckerwirtschaft;Abgelehnt;56.6%;36.2%;.
144;06.07.1947;Bundesgesetz über die Alters- und Hinterlassenenversicherung;Angenommen;79.7%;80.0%;.
143;06.07.1947;Bundesbeschluss über eine Revision der Wirtschaftsartikel der Bundesverfassung;Angenommen;79.7%;53.0%;12 2/2
142;18.05.1947;Volksinitiative «Wirtschaftsreform und Rechte der Arbeit»;Abgelehnt;59.4%;31.2%;0 0/2
141;08.12.1946;Volksinitiative «Recht auf Arbeit»;Abgelehnt;50.1%;19.2%;0 0/2
140;10.02.1946;Bundesbeschluss über das Volksbegehren betreffend eine Gütertransportordnung;Abgelehnt;65.2%;33.7%;1 0/2
139;25.11.1945;Bundesbeschluss über das Volksbegehren «Für die Familie»;Angenommen;55.5%;76.3%;19 5/2
138;21.01.1945;Bundesgesetz über die Schweizerischen Bundesbahnen;Angenommen;52.9%;56.7%;.
137;29.10.1944;Bundesgesetz über den unlauteren Wettbewerb;Angenommen;50.9%;52.9%;.
136;03.05.1942;Volksinitiative «für die Reorganisation des Nationalrates»;Abgelehnt;51.5%;34.9%;0 1/2
135;25.01.1942;Volksinitiative «für die Wahl des Bundesrates durch das Volk und die Erhöhung der Mitgliederzahl»;Abgelehnt;62.0%;32.4%;0 0/2
134;09.03.1941;Volksinitiative «zur Neuordnung des Alkoholwesens»;Abgelehnt;61.4%;40.2%;.
133;01.12.1940;Bundesgesetz über die Abänderung der Art. 103 und 104 des Bundesgesetzes vom 12. April 1907 betreffend die Militärorganisation (Einführung des obligatorischen militärischen Vorunterrichts);Abgelehnt;63.6%;44.3%;.
132;03.12.1939;Bundesgesetz über die Änderung des Dienstverhältnisses und der Versicherung des Bundespersonals;Abgelehnt;63.9%;37.6%;.
131;04.06.1939;Bundesbeschluss betreffend Ergänzung der Bundesverfassung für die Eröffnung und teilweise Deckung von Krediten zum Ausbau der Landesverteidigung und zur Bekämpfung der Arbeitslosigkeit;Angenommen;54.7%;69.1%;16 6/2
130;22.01.1939;Bundesbeschluss über das Volksbegehren für Einschränkung der Anwendung der Dringlichkeitsklausel;Angenommen;46.6%;69.1%;18 6/2
129;22.01.1939;Volksinitiative «zur Wahrung der verfassungsmässigen Rechte der Bürger» (Erweiterung der Verfassungsgerichtsbarkeit);Abgelehnt;46.6%;28.9%;0 0/2
128;27.11.1938;Bundesbeschluss betreffend die Uebergangsordnung des Finanzhaushaltes;Angenommen;60.4%;72.3%;18 6/2
127;03.07.1938;Schweizerisches Strafgesetzbuch;Angenommen;57.1%;53.5%;.
126.2;20.02.1938;Gegenentwurf zur Volksinitiative «Private Rüstungsindustrie»;Angenommen;54.3%;81.3%;19 6/2
126.1;20.02.1938;Volksinitiative «Private Rüstungsindustrie»;Abgelehnt;54.3%;13.6%;0 0/2
125;20.02.1938;Volksinitiative «betreffend die dringlichen Bundesbeschlüsse und die Wahrung der demokratischen Volksrechte»;Abgelehnt;54.3%;15.2%;0 0/2
124;20.02.1938;Bundesbeschluss über die Revision der Art. 107 und 116 der Bundesverfassung (Anerkennung des Rätoromanischen als Nationalsprache);Angenommen;54.3%;91.6%;19 6/2
123;28.11.1937;Volksinitiative «für ein Verbot der Freimaurerei»;Abgelehnt;65.9%;31.3%;1 0/2
122;08.09.1935;Volksinitiative «für eine Totalrevision der Bundesverfassung»;Abgelehnt;60.9%;27.7%;.
121;02.06.1935;Volksinitiative «zur Bekämpfung der Wirtschaftskrise»;Abgelehnt;84.4%;42.8%;3 2/2
120;05.05.1935;Bundesgesetz über die Regelung der Beförderung von Gütern und Tieren mit Motorfahrzeugen auf öffentlichen Strassen (Verkehrsteilungsgesetz);Abgelehnt;63.2%;32.3%;.
119;24.02.1935;Bundesgesetz über die Abänderung des Bundesgesetzes vom 12. April 1907 betreffend die Militärorganisation (Neuordnung der Ausbildung);Angenommen;79.9%;54.2%;.
118;11.03.1934;Bundesgesetz über den Schutz der öffentlichen Ordnung;Abgelehnt;79.0%;46.2%;.
117;28.05.1933;Bundesgesetz über die vorübergehende Herabsetzung der Besoldungen, Gehälter und Löhne der im Dienste des Bundes stehenden Personen;Abgelehnt;80.5%;44.9%;.
116;06.12.1931;Bundesgesetz über die Besteuerung des Tabaks;Abgelehnt;78.1%;49.9%;.
115;06.12.1931;Bundesgesetz über die Alters- und Hinterlassenenversicherung;Abgelehnt;78.1%;39.7%;.
114;15.03.1931;Bundesbeschluss über die Revision der Art. 76, 96 , Abs. 1, und 105, Abs. 2, der Bundesverfassung (Amtsdauer des Nationalrats, des Bundesrats und des Bundeskanzlers);Angenommen;53.5%;53.7%;14 4/2
113;15.03.1931;Bundesbeschluss über die Revision des Art. 72 der Bundesverfassung (Wahl des Nationalrats);Angenommen;53.5%;53.9%;11 5/2
112;08.02.1931;Bundesbeschluss über das Volksbegehren um Revision des Artikels 12 der Bundesverfassung (Ordensverbot);Angenommen;41.8%;70.2%;14 6/2
111;06.04.1930;Bundesbeschluss betreffend die Revision der Art. 31 und 32bis der Bundesverfassung und die Aufnahme eines neuen Art. 32quater (Alkoholwesen);Angenommen;75.7%;60.6%;16 2/2
110;12.05.1929;Volksinitiative «für ein Branntweinverbot»;Abgelehnt;66.4%;32.7%;0 1/2
109;12.05.1929;Volksinitiative «betreffend die Gesetzgebung über den Strassenverkehr»;Abgelehnt;65.1%;37.2%;2 2/2
108;03.03.1929;Bundesgesetz betreffend Abänderung von Art.14 des Bundesgesetzes vom 10. Oktober 1902 betreffend den schweizerischen Zolltarif;Angenommen;67.3%;66.4%;.
107.2;03.03.1929;Gegenentwurf zur Volksinitiative «Getreideversorgung»;Angenommen;67.3%;66.8%;18 6/2
107.1;03.03.1929;Volksinitiative «Getreideversorgung»;Abgelehnt;67.3%;2.7%;0 0/2
106;02.12.1928;Volksinitiative «Kursaalspiele» (Spielbanken);Angenommen;55.5%;51.9%;13 3/2
105;20.05.1928;Bundesbeschluss betreffend Revision des Art. 44 der Bundesverfassung (Massnahmen gegen die Ueberfremdung);Angenommen;45.2%;70.7%;17 5/2
104;15.05.1927;Bundesgesetz über den Automobil- und Fahrradverkehr;Abgelehnt;57.9%;40.1%;.
103;15.05.1927;Bundesbeschluss betreffend die Abänderung des Artikels 30 der Bundesverfassung;Angenommen;55.3%;62.6%;18 6/2
102;05.12.1926;Bundesbeschluss über die Aufnahme eines neuen Artikels 23bis in die Bundesverfassung betreffend die Getreideversorgung des Landes;Abgelehnt;72.7%;49.6%;8 0/2
101;06.12.1925;Bundesbeschluss betreffend die Alters-, Hinterlassenen- und Invalidenversicherung;Angenommen;63.1%;65.4%;15 3/2
100;25.10.1925;Bundesbeschluss betreffend Aufenthalt und Niederlassung der Ausländer;Angenommen;68.0%;62.2%;16 5/2
99;24.05.1925;Volksinitiative «für eine Invaliditäts-, Alters- und Hinterlassenenversicherung» (AHV);Abgelehnt;68.2%;42.0%;5 2/2
98;17.02.1924;Bundesgesetz betreffend Abänderung von Art. 41 des Fabrikgesetzes vom 18. Juni 1914 / 27. Juni 1919;Abgelehnt;77.0%;42.4%;.
97;03.06.1923;Bundesbeschluss betreffend die Revision der Art. 31 und 32bis (Alkoholwesen) der Bundesverfassung;Abgelehnt;64.6%;42.2%;9 2/2
96;15.04.1923;Volksinitiative «zur Wahrung der Volksrechte in der Zollfrage»;Abgelehnt;65.8%;26.8%;0 1/2
95;18.02.1923;Bundesbeschluss über die Ratifikation des am 7. August 1921 in Paris unterzeichneten Abkommens zwischen der Schweiz und Frankreich zur Regelung der Handelsbeziehungen und des freundnachbarlichen Grenzverkehrs zwischen den ehemaligen Freizonen Hochsavoyens;Abgelehnt;53.4%;18.5%;.
94;18.02.1923;Volksinitiative «Schutzhaft»;Abgelehnt;53.2%;11.0%;0 0/2
93;03.12.1922;Volksinitiative «für die Einmalige Vermögensabgabe»;Abgelehnt;86.3%;13.0%;0 0/2
92;24.09.1922;Bundesgesetz betreffend Abänderung des Bundesstrafrechts vom 4. Februar 1853 in bezug auf Verbrechen gegen die verfassungsmässige Ordnung und innere Sicherheit und in bezug auf die Einführung des bedingten Strafvollzugs;Abgelehnt;70.3%;44.6%;.
91;11.06.1922;Volksinitiative «betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat»;Abgelehnt;45.6%;38.4%;4 2/2
90;11.06.1922;Volksinitiative «betreffend die Ausweisung von Ausländern, Teil II»;Abgelehnt;45.6%;38.1%;0 0/2
89;11.06.1922;Volksinitiative «betreffend die Erlangung des Schweizerbürgerrechts, Teil I»;Abgelehnt;45.6%;15.9%;0 0/2
88;22.05.1921;Bundesbeschluss betreffend Aufnahme eines Artikels 37ter (Luftschiffahrt) in die Bundesverfassung;Angenommen;38.4%;62.2%;18 5/2
87;22.05.1921;Bundesbeschluss betreffend Aufnahme eines Art. 37bis und eines Art. 37ter in die Bundesverfassung (Automobil und Fahrradverkehr, Luftschiffahrt);Angenommen;38.6%;59.8%;14 3/2
86;30.01.1921;Volksinitiative «für die Aufhebung der Militärjustiz»;Abgelehnt;63.1%;33.6%;3 0/2
85;30.01.1921;Volksinitiative «für die Unterstellung von unbefristeten oder für eine Dauer von mehr als 15 Jahren abgeschlossenen Staatsverträgen unter das Referendum (Staatsvertragsreferendum)»;Angenommen;63.1%;71.4%;17 6/2
84;31.10.1920;Bundesgesetz betreffend die Arbeitszeit beim Betriebe der Eisenbahnen und anderer Verkehrsanstalten;Angenommen;68.1%;57.1%;.
83;16.05.1920;Bundesbeschluss betreffend den Beitritt der Schweiz zum Völkerbund;Angenommen;77.5%;56.3%;10 3/2
82.2;21.03.1920;Gegenentwurf zur Volksinitiative «für ein Verbot der Errichtung von Spielbanken»;Abgelehnt;60.2%;24.5%;0 1/2
82.1;21.03.1920;Volksinitiative «für ein Verbot der Errichtung von Spielbanken»;Angenommen;60.2%;55.3%;13 2/2
81;21.03.1920;Bundesgesetz betreffend die Ordnung des Arbeitsverhältnisses;Abgelehnt;60.3%;49.8%;.
80;10.08.1919;Bundesbeschluss betreffend die Aufnahme von Uebergangsbestimmungen zu Art. 73 der Bundesverfassung;Angenommen;32.8%;71.6%;19 5/2
79;04.05.1919;Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung über die Erhebung einer neuen ausserordentlichen Kriegssteuer;Angenommen;53.8%;65.1%;17 6/2
78;04.05.1919;Bundesbeschluss betreffend Aufnahme eines Art. 24ter in die Bundesverfassung (Schiffahrt);Angenommen;53.9%;83.6%;19 6/2
77;13.10.1918;Volksinitiative «für die Proporzwahl des Nationalrates»;Angenommen;49.5%;66.8%;17 5/2
76;02.06.1918;Volksinitiative «für die Einführung der direkten Bundessteuer»;Abgelehnt;65.4%;45.9%;6 3/2
75;13.05.1917;Bundesbeschluss betreffend die Einfügung eines Art. 41bis und eines Artikels 42, lit.g, in die Bundesverfasssung (Stempelabgaben);Angenommen;42.1%;53.2%;14 1/2
74;06.06.1915;Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung zur Erhebung einer einmaligen Kriegssteuer;Angenommen;56.0%;94.3%;19 6/2
73;25.10.1914;Bundesbeschluss betreffend Revision von Art. 103 der Bundesverfassung und Aufnahme eines Artikels 114bis in die Bundesverfassung;Angenommen;44.1%;62.3%;16 4/2
72;04.05.1913;Bundesbeschluss betreffend Revision der Artikel 69 und 31, 2.Absatz, lit.d, der Bundesverfassung (Bekämpfung menschlicher und tierischer Krankheiten);Angenommen;36.0%;60.3%;14 5/2
71;04.02.1912;Bundesgesetz über die Kranken- und Unfallversicherung;Angenommen;64.3%;54.4%;.
70;23.10.1910;Volksinitiative «für die Proporzwahl des Nationalrates»;Abgelehnt;62.3%;47.5%;10 4/2
69;25.10.1908;Bundesbeschluss betreffend die Aufnahme eines Zusatzartikels 24bis in die Bundesverfassung betreffend die Gesetzgebung des Bundes über die Nutzbarmachung der Wasserkräfte und über die Fortleitung und die Abgabe der elektrischen Energie;Angenommen;48.3%;84.4%;19 5/2
68;05.07.1908;Volksinitiative «für ein Absinthverbot»;Angenommen;49.3%;63.5%;17 6/2
67;05.07.1908;Bundesbeschluss betreffend Ergänzung der Bundesverfassung bezüglich des Rechts der Gesetzgebung über das Gewerbewesen;Angenommen;48.7%;71.5%;19 5/2
66;03.11.1907;Militärorganisation der schweizerischen Eidgenossenschaft;Angenommen;74.7%;55.2%;.
65;10.06.1906;Bundesgesetz betreffend den Verkehr mit Lebensmitteln und Gebrauchsgegenständen;Angenommen;51.4%;62.6%;.
64;19.03.1905;Bundesbeschluss betreffend Revision des Art. 64 der Bundesverfassung (Ausdehnung des Erfinderschutzes);Angenommen;40.0%;70.4%;19 5/2
63;25.10.1903;Bundesbeschluss betreffend Abänderung des Art. 32bis der Bundesverfassung;Abgelehnt;53.1%;40.7%;4 0/2
62;25.10.1903;Volksinitiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»;Abgelehnt;53.3%;24.4%;3 2/2
61;25.10.1903;Bundesgesetz betreffend Ergänzung des Bundesgesetzes über das Bundesstrafrecht der schweizerischen Eidgenossenschaft vom 4. Februar 1853;Abgelehnt;53.2%;30.8%;.
60;15.03.1903;Bundesgesetz betreffend den schweizerischen Zolltarif;Angenommen;73.3%;59.6%;.
59;23.11.1902;Bundesbeschluss betreffend die Unterstützung der öffentlichen Primarschule durch den Bund;Angenommen;46.6%;76.3%;19 5/2
58;04.11.1900;Volksinitiative «für die Volkswahl des Bundesrates und die Vermehrung der Mitgliederzahl»;Abgelehnt;58.8%;35.0%;7 2/2
57;04.11.1900;Volksinitiative «für die Proporzwahl des Nationalrates»;Abgelehnt;58.8%;40.9%;9 3/2
56;20.05.1900;Bundesgesetz betreffend die Kranken- und Unfallversicherung mit Einschluss der Militärversicherung;Abgelehnt;66.7%;30.2%;.
55;13.11.1898;Bundesbeschluss betreffend Aufnahme eines Artikels 64bis in die Bundesverfassung;Angenommen;52.8%;72.4%;15 3/2
54;13.11.1898;Bundesbeschluss betreffend Revision des Artikels 64 der Bundesverfassung;Angenommen;52.8%;72.2%;15 3/2
53;20.02.1898;Bundesgesetz betreffend die Erwerbung und den Betrieb von Eisenbahnen für Rechnung des Bundes und die Organisation der Verwaltung der schweizerischen Bundesbahnen;Angenommen;78.1%;67.9%;.
52;11.07.1897;Bundesbeschluss betreffend Bundesgesetzgebung über den Verkehr mit Nahrungs- und Genussmitteln und mit solchen Gebrauchs- und Verbrauchsgegenständen, welche das Leben oder die Gesundheit gefährden können;Angenommen;38.8%;65.1%;16 5/2
51;11.07.1897;Bundesbeschluss über die Revision des Art. 24 der Bundesverfassung;Angenommen;38.7%;63.5%;14 4/2
50;28.02.1897;Bundesgesetz über die Errichtung der schweizerischen Bundesbank;Abgelehnt;64.6%;43.3%;.
49;04.10.1896;Bundesgesetz betreffend die Disciplinarstrafordnung für die eidgenössische Armee;Abgelehnt;57.6%;19.9%;.
48;04.10.1896;Bundesgesetz über das Rechnungswesen der Eisenbahnen;Angenommen;57.8%;55.8%;.
47;04.10.1896;Bundesgesetz betreffend die Gewährleistung beim Viehhandel;Abgelehnt;57.6%;45.5%;.
46;03.11.1895;Bundesbeschluss über die Revision der Militärartikel der Bundesverfassung;Abgelehnt;67.9%;42.0%;4 1/2
45;29.09.1895;Bundesbeschluss über die Ergänzung der Bundesverfassung durch Zusatzbestimmungen betreffend die Einführung des Zündhölzchenmonopols;Abgelehnt;48.6%;43.2%;6 3/2
44;03.02.1895;Bundesgesetz betreffend die Vertretung der Schweiz im Auslande;Abgelehnt;46.3%;41.2%;.
43;04.11.1894;Volksinitiative «zur Abgabe eines Teils der Zolleinnahmen an die Kantone»;Abgelehnt;72.9%;29.3%;7 3/2
42;03.06.1894;Volksinitiative «zur Gewährleistung des Rechts auf Arbeit»;Abgelehnt;57.6%;19.8%;0 0/2
41;04.03.1894;Bundesbeschluss vom 20. Dezember 1893 betreffend Ergänzung der Bundesverfassung durch einen Zusatz bezüglich des Rechts der Gesetzgebung über das Gewerbewesen;Abgelehnt;46.8%;46.1%;7 1/2
40;20.08.1893;Volksinitiative «Verbot des Schlachtens ohne vorherige Betäubung»;Angenommen;49.2%;60.1%;10 3/2
39;06.12.1891;Bundesbeschluss betreffend den Ankauf der schweizerischen Centralbahn;Abgelehnt;64.3%;31.1%;.
38;18.10.1891;Bundesgesetz betreffend den schweizerischen Zolltarif;Angenommen;61.6%;58.1%;.
37;18.10.1891;Bundesbeschluss betreffend Revision von Art. 39 der Bundesverfassung;Angenommen;62.0%;59.3%;12 4/2
36;05.07.1891;Bundesbeschluss betreffend Revision der Bundesverfassung;Angenommen;49.9%;60.3%;16 4/2
35;15.03.1891;Bundesgesetz betreffend die arbeitsunfähig gewordenen eidgenössischen Beamten und Angestellten;Abgelehnt;68.6%;20.6%;.
34;26.10.1890;Bundesbeschluss betreffend Ergänzung der Bundesverfassung vom 29. Mai 1874 durch einen Zusatz bezüglich des Gesetzgebungsrechtes über Unfall- und Krankenversicherung;Angenommen;59.7%;75.4%;18 5/2
33;17.11.1889;Bundesgesetz über Schuldbetreibung und Konkurs;Angenommen;70.9%;52.9%;.
32;10.07.1887;Bundesbeschluss betreffend Ergänzung des Artikels 64 der Bundesverfassung vom 29. Mai 1874;Angenommen;42.4%;77.9%;18 5/2
31;15.05.1887;Bundesgesetz betreffend gebrannte Wasser;Angenommen;62.5%;65.9%;.
30;25.10.1885;Bundesbeschluss betreffend theilweise Änderung der Bundesverfassung der schweizerischen Eidgenossenschaft;Angenommen;60.4%;59.4%;13 4/2
29;11.05.1884;Bundesbeschluss betreffend Gewährung eines Beitrags von 10'000 Franken an die Kanzleikosten der schweizerischen Gesandtschaft in Washington;Abgelehnt;60.1%;38.5%;.
28;11.05.1884;Bundesgesetz betreffend die Ergänzung des Bundesstrafrechtes vom 4. Februar 1853;Abgelehnt;60.1%;44.0%;.
27;11.05.1884;Bundesbeschluss betreffend die Patenttaxen der Handelsreisenden;Abgelehnt;60.1%;47.9%;.
26;11.05.1884;Bundesgesetz betreffend die Organisation des eidgenössischen Justiz- und Polizeidepartements;Abgelehnt;60.1%;41.1%;.
25;26.11.1882;Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung;Abgelehnt;75.6%;35.1%;.
24;30.07.1882;Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien;Abgelehnt;50.7%;21.1%;.
23;30.07.1882;Bundesbeschluss betreffend den Erfindungsschutz;Abgelehnt;47.0%;47.5%;7 1/2
22;31.10.1880;Bundesbeschluss betreffend den durch das Volksbegehren vom 3. August 1880 gestellten Antrag auf Revision der Bundesverfassung;Abgelehnt;59.4%;31.8%;4 1/2
21;18.05.1879;Bundesbeschluss betreffend Abänderung von Artikel 65 der Bundesverfassung (Todesstrafe);Angenommen;60.3%;52.5%;13 4/2
20;19.01.1879;Bundesgesez betreffend Gewährung von Subsidien für Alpenbahnen;Angenommen;61.9%;70.7%;.
19;21.10.1877;Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger;Abgelehnt;<i>keine Angaben</i>;38.2%;.
18;21.10.1877;Bundesgesez betreffend den Militärpflichtersaz;Abgelehnt;<i>keine Angaben</i>;48.4%;.
17;21.10.1877;Bundesgesez betreffend die Arbeit in den Fabriken;Angenommen;<i>keine Angaben</i>;51.5%;.
16;09.07.1876;Bundesgesez betreffend die Militärpflichtersazsteuer;Abgelehnt;<i>keine Angaben</i>;45.8%;.
15;23.04.1876;Bundesgesez über die Ausgabe und Einlösung von Banknoten;Abgelehnt;<i>keine Angaben</i>;38.3%;.
14;23.05.1875;Bundesgesez über die politische Stimmberechtigung der Schweizerbürger;Abgelehnt;<i>keine Angaben</i>;49.4%;.
13;23.05.1875;Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe;Angenommen;<i>keine Angaben</i>;51.0%;.
12;19.04.1874;Totalrevision;Angenommen;<i>keine Angaben</i>;63.2%;12 3/2
11;12.05.1872;Totalrevision;Abgelehnt;<i>keine Angaben</i>;49.5%;8 2/2
10;14.01.1866;Verbot der Lotterie und Hasardspiele;Abgelehnt;<i>keine Angaben</i>;44.0%;8 3/2
9;14.01.1866;Schutz des geistigen Eigentums;Abgelehnt;<i>keine Angaben</i>;43.7%;8 3/2
8;14.01.1866;Ausschliessung einzelner Strafarten;Abgelehnt;<i>keine Angaben</i>;34.2%;6 1/2
7;14.01.1866;Glaubens- und Kultusfreiheit;Abgelehnt;<i>keine Angaben</i>;49.2%;10 2/2
6;14.01.1866;Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten;Abgelehnt;<i>keine Angaben</i>;48.1%;9 2/2
5;14.01.1866;Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen;Abgelehnt;<i>keine Angaben</i>;39.9%;8 2/2
4;14.01.1866;Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten;Abgelehnt;<i>keine Angaben</i>;43.1%;7 2/2
3;14.01.1866;Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung;Angenommen;<i>keine Angaben</i>;53.2%;11 3/2
2;14.01.1866;Festsetzung von Mass und Gewicht;Abgelehnt;<i>keine Angaben</i>;50.4%;8 3/2
1;06.06.1848;Totalrevision vom 12. September 1848;Angenommen;<i>keine Angaben</i>;72.8%;14 3/2
